"Company","Location","Date","Time","Rocket","Mission","RocketStatus","Price","MissionStatus","LaunchAddress","LaunchCitystate","LaunchCountry"
RVSN USSR,"Site 86/1, Kapustin Yar, Russia","4/24/70","22:24:00",Cosmos-2I (63SM),Cosmos 335,Retired,"",Success,Site 86/1, Kapustin Yar, Russia
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia","4/25/70","17:09:00",Cosmos-3M (11K65M),Cosmos 336 to 343,Retired,"",Success,Site 132/2, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia","4/28/70","10:50:00",Vostok-2M,Meteor n†­15,Retired,"",Success,Site 41/1, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia","5/12/70","10:10:00",Voskhod,Cosmos 344,Retired,"",Success,Site 41/1, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","5/20/70","9:20:00",Voskhod,Cosmos 345,Retired,"",Success,Site 31/6, Baikonur Cosmodrome, Kazakhstan
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia","5/22/70","12:39:00",Cosmos-2I (63SM),DS-P1-You #36,Retired,"",Failure,Site 133/3, Plesetsk Cosmodrome, Russia
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","6/1/70","19:00:00",Soyuz,Soyuz 9,Retired,"",Success,Site 31/6, Baikonur Cosmodrome, Kazakhstan
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","6/10/70","9:30:00",Voskhod,Cosmos 346,Retired,"",Success,Site 31/6, Baikonur Cosmodrome, Kazakhstan
CECLES,"LA-5B, RAAF Woomera Range Complex, Australia","6/12/70","6:06:00",Europa 1,STV-3,Retired,"",Failure,LA-5B, RAAF Woomera Range Complex, Australia
RVSN USSR,"Site 86/1, Kapustin Yar, Russia","6/12/70","9:30:00",Cosmos-2I (63SM),Cosmos 347,Retired,"",Success,Site 86/1, Kapustin Yar, Russia
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia","6/13/70","4:59:00",Cosmos-2I (63SM),Cosmos 348,Retired,"",Success,Site 133/3, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","6/17/70","12:59:00",Voskhod,Cosmos 349,Retired,"",Success,Site 43/4, Plesetsk Cosmodrome, Russia
General Dynamics,"LC-13, Cape Canaveral AFS, Florida, USA","6/19/70","11:37:00",Atlas-SLV3A Agena-D,AFP-720 (Rhyolite-1),Retired,"",Success, Cape Canaveral AFS, Florida, USA
